Table A-1. Rankings of 2010 U.S. midterm candidates based on Twitter voter-candidate engagement indicators,,,,,,,,,,,,,,,
Rank,Number of followers,,,Number of @mentions,,,Number of retweets,,,Number of @mentions per tweet,,,Number of retweets per tweet,,
,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score
105,Tom Horner (3),G,1440,Joe Heck (R),H,298,Barbara Mikulski (D),S,162,Tom Ganley (R),H,3.76,Suzan DelBene (D),H,2.03
106,Mick Mulvaney (R),H,1438,Tom Barrett (D),G,294,Virg Bernero (D),G,153,Paul E. Kanjorski (D),H,3.72,Mick Mulvaney (R),H,2.01
107,Peter Shumlin (D),G,1406,Pat Quinn (D),G,294,Joe Walsh (R),H,151,Raymond McKinney (R),H,3.71,Tom Horner (3),G,2.00
108,Daniel Webster (R),H,1395,Chet Culver (D),G,293,Paul Gosar (R),H,147,Alan Nunnelee (R),H,3.65,Duke Aiona (R),G,2.00
109,Jerry Moran (R),S,1367,Joe Walsh (R),H,292,David Vitter (R),S,139,Gerry Connolly (D),H,3.58,Earl Blumenauer (D),H,2.00
110,Terry Bransrad (R),G,1364,Keith Fimian (R),H,287,Lou Barletta (R),H,139,Larry Bucshon (R),H,3.55,Ami Bera (D),H,2.00
111,Daniel Inouye (D),S,1305,Peter Shumlin (D),G,285,Raul Labrador (R),H,137,"Ronald \Ron\"" Klein"" (D)",H,3.53,Jon Runyan (R),H,1.98
112,Carolyn Maloney (D),H,1275,Bill Haslam (R),G,270,Wally Pang (I),H,134,Paul Hodes (D),S,3.50,Ben Lange (R),H,1.92
113,Ron Wyden (D),S,1262,Bill Flores (R),H,266,Dan Coats (R),S,132,Steve Southerland (R),H,3.50,Dave Reichert (R),H,1.90
114,Pat Quinn (D),G,1233,susana martinez (R),G,252,Rodney Glassman (D),S,129,Keith Fimian (R),H,3.46,Mike Lee (R),S,1.88
115,Austin Scott (R),H,1229,Tom Perriello (D),H,248,Neil Abercrombie (D),G,128,John Lynch (D),G,3.45,Tom Holland (D),G,1.87
116,Barbara Mikulski (D),S,1224,John Adler (D),H,245,Brian Dubie (R),G,127,Rodney Glassman (D),S,3.40,Roxanne Conlin (D),S,1.85
117,Frank Guinta (R),H,1216,Tom Horner (3),G,242,Ann Marie Buerkle (R),H,127,Brian Dubie (R),G,3.33,Jim Renacci (R),H,1.83
118,Adam Kinzinger (R),H,1211,Chris Gibson (R),H,235,Kelly Ayotte (R),S,124,Randy Hultgren (R),H,3.23,Zack Space (D),H,1.83
119,Rodney Glassman (D),S,1210,Jim Keet (R),G,227,Debbie Halvorson (D),H,124,Beth Anne Rankin (R),H,3.22,Neil Abercrombie (D),G,1.83
120,Jeff Perry (R),H,1201,Ann Marie Buerkle (R),H,226,Glen Urquhart (R),H,122,Dina Titus (D),H,3.11,Larry Bucshon (R),H,1.83
121,Kristi Noem (R),H,1188,Randy Hultgren (R),H,226,Ann McLane Kuster (D),H,121,Robin Carnahan (D),S,3.11,Michael Pompeo (R),H,1.82
122,Lincoln Chafee (I),G,1186,Dina Titus (D),H,221,Jerry Moran (R),S,120,John Carney (D),H,3.07,Sam Caligiuri (R),H,1.79
123,susana martinez (R),G,1183,Austin Scott (R),H,220,Michael Grimm (R),H,119,Jim Keet (R),G,3.07,Ryan L. Frazier (R),H,1.76
124,John Boozman (R),S,1171,Mike Kelly (R),H,216,Robert Bentley (R),G,116,Mike Fitzpatrick (R),H,3.00,Sam Granato (D),S,1.74
125,Brad Ellsworth (D),S,1170,Bill White (D),G,214,Dennis Ross (R),H,106,Jon Runyan (R),H,2.95,Tom Foley (R),G,1.72
126,Joe J. DioGuardi (R),S,1159,Rocky Raczkowski (R),H,207,Mike Berryhill (R),H,105,Raul Labrador (R),H,2.94,Martin O'Malley (D),G,1.70
127,Rory Reid (D),G,1144,John Carney (D),H,206,Kristi Noem (R),H,104,Todd Young (R),H,2.94,Mike Kelly (R),H,1.69
128,Keith Fimian (R),H,1114,Beth Anne Rankin (R),H,206,Tom Ganley (R),H,104,Earl Blumenauer (D),H,2.93,Ann McLane Kuster (D),H,1.68
129,Tom Ganley (R),H,1105,Bryan Lentz (D),H,205,Joe Manchin (D),S,103,"Robert Leroy \Bob\"" Ehrlich"" (R)",G,2.90,Gerry Connolly (D),H,1.67
130,Dan Coats (R),S,1103,Ben Quayle (R),H,202,Roy Barnes (D),G,103,Jon Hulburd (D),H,2.85,Robert Bentley (R),G,1.66
131,Ron Sparks (D),G,1054,Dan Debicella (R),H,196,Rory Reid (D),G,103,Scott Bruun (R),H,2.84,Mary Jo Kilroy (D),H,1.63
132,Tom Foley (R),G,1029,Nan Hayworth (R),H,194,Jim Himes (D),H,102,Terry Goddard (D),G,2.75,Dan Malloy (D),G,1.61
133,Cory Gardner (R),H,1026,Lee Fisher (D),S,189,Adam Kinzinger (R),H,101,Ami Bera (D),H,2.74,Pat Quinn (D),G,1.60
134,Brian Dubie (R),G,1025,Todd Young (R),H,185,Manan Trivedi (D),H,101,Barbara Mikulski (D),S,2.72,Bob Gibbs (R),H,1.59
135,Jim Keet (R),G,1016,Chad Causey (D),H,179,susana martinez (R),G,100,Rick Snyder (R),G,2.67,Michael Grimm (R),H,1.59
136,Johnny Isakson (R),S,986,Dan Malloy (D),G,176,Zack Space (D),H,99,Tom Barrett (D),G,2.67,Andy Barr (R),H,1.58
137,Scott Tipton (R),H,973,Mike Lee (R),S,174,Bill Haslam (R),G,97,Pat Meehan (R),H,2.66,Scott Walker (R),G,1.57
138,Jon Runyan (R),H,970,Martha Roby (R),H,174,Sandy Adams (R),H,97,Ravi Sangisetty (D),H,2.60,David Vitter (R),S,1.54
139,Vicky Hartzler (R),H,964,Lou Barletta (R),H,174,Scott Tipton (R),H,95,Daniel Inouye (D),S,2.48,Ron Wyden (D),S,1.53
140,Steve Pearce (R),H,950,Sam Caligiuri (R),H,173,Rocky Raczkowski (R),H,94,Suzan DelBene (D),H,2.47,Charles K. Djou (R),H,1.53
141,Bill Flores (R),H,929,Paul Gosar (R),H,169,Bill Brady (R),G,93,Tom Holland (D),G,2.47,Steve Pearce (R),H,1.51
142,Peter Corroon (D),G,911,Randy Demmer (R),H,165,Jim Keet (R),G,93,Stephen Fincher (R),H,2.46,Ron Sparks (D),G,1.47
143,Libby Mitchell (D),G,910,Mike Beebe (D),G,163,Ed Potosnak (D),H,92,Mary Jo Kilroy (D),H,2.43,Bill Hedrick (D),H,1.44
144,Sam Granato (D),S,909,Brian Sandoval (R),G,162,Jackie Walorski (R),H,91,Todd Lally (R),H,2.38,Jari Askins (D),G,1.43
145,Martha Roby (R),H,890,Sandy Adams (R),H,162,Tom Marino (R),H,91,Pat Quinn (D),G,2.37,Dan Debicella (R),H,1.43
146,Jackie Walorski (R),H,889,Lincoln Chafee (I),G,156,Chris Gibson (R),H,90,Bob Gibbs (R),H,2.35,Tom Marino (R),H,1.42
